Time differences of all IDs

data structure: (cam 1, id 1), (cam 2, id 2), (time diff)
((1, 23), (2, 44), (7))
((1, 23), (2, 45), (6))
((1, 23), (2, 48), (16))
((1, 23), (2, 49), (20))
((1, 23), (2, 50), (18))
((1, 23), (2, 52), (25))
((1, 23), (2, 53), (23))
((1, 23), (2, 6), (110))
((1, 23), (2, 8), (111))
((1, 24), (2, 1), (122))
((1, 24), (2, 11), (106))
((1, 24), (2, 19), (74))
((1, 24), (2, 2), (121))
((1, 24), (2, 20), (75))
((1, 24), (2, 24), (63))
((1, 24), (2, 26), (61))
((1, 24), (2, 28), (43))
((1, 24), (2, 30), (38))
((1, 24), (2, 31), (34))
((1, 24), (2, 32), (33))
((1, 24), (2, 33), (31))
((1, 24), (2, 39), (4))
((1, 24), (2, 44), (4))
((1, 24), (2, 45), (1))
((1, 24), (2, 48), (9))
((1, 24), (2, 49), (13))
((1, 24), (2, 50), (11))
((1, 24), (2, 52), (18))
((1, 24), (2, 53), (16))
((1, 24), (2, 6), (117))
((1, 24), (2, 8), (118))
((1, 25), (2, 1), (131))
((1, 25), (2, 11), (115))
((1, 25), (2, 19), (83))
((1, 25), (2, 2), (130))
((1, 25), (2, 20), (84))
((1, 25), (2, 24), (72))
((1, 25), (2, 26), (70))
((1, 25), (2, 28), (52))
((1, 25), (2, 30), (47))
((1, 25), (2, 31), (43))
((1, 25), (2, 32), (42))
((1, 25), (2, 33), (40))
((1, 25), (2, 39), (13))
((1, 25), (2, 44), (9))
((1, 25), (2, 45), (10))
((1, 25), (2, 48), (10))
((1, 25), (2, 49), (4))
((1, 25), (2, 50), (2))
((1, 25), (2, 52), (9))
((1, 25), (2, 53), (7))
((1, 25), (2, 6), (126))
((1, 25), (2, 8), (127))
((1, 26), (2, 1), (123))
((1, 26), (2, 11), (107))
((1, 26), (2, 19), (75))
((1, 26), (2, 2), (122))
((1, 26), (2, 20), (76))
((1, 26), (2, 24), (64))
((1, 26), (2, 26), (62))
((1, 26), (2, 28), (44))
((1, 26), (2, 30), (39))
((1, 26), (2, 31), (35))
((1, 26), (2, 32), (34))
((1, 26), (2, 33), (32))
((1, 26), (2, 39), (5))
((1, 26), (2, 44), (1))
((1, 26), (2, 45), (2))
((1, 26), (2, 48), (8))
((1, 26), (2, 49), (12))
((1, 26), (2, 50), (10))
((1, 26), (2, 52), (17))
((1, 26), (2, 53), (15))
((1, 26), (2, 6), (118))
((1, 26), (2, 8), (119))
((1, 27), (2, 1), (130))
((1, 27), (2, 11), (114))
((1, 27), (2, 19), (82))
((1, 27), (2, 2), (129))
((1, 27), (2, 20), (83))
((1, 27), (2, 24), (71))
((1, 27), (2, 26), (69))
((1, 27), (2, 28), (51))
((1, 27), (2, 30), (46))
((1, 27), (2, 31), (42))
((1, 27), (2, 32), (41))
((1, 27), (2, 33), (39))
((1, 27), (2, 39), (12))
((1, 27), (2, 44), (8))
((1, 27), (2, 45), (9))
((1, 27), (2, 48), (1))
((1, 27), (2, 49), (5))
((1, 27), (2, 50), (3))
((1, 27), (2, 52), (10))
((1, 27), (2, 53), (8))
((1, 27), (2, 6), (125))
((1, 27), (2, 8), (126))
((1, 28), (2, 1), (142))
((1, 28), (2, 11), (126))
((1, 28), (2, 19), (94))
((1, 28), (2, 2), (141))
((1, 28), (2, 20), (95))
((1, 28), (2, 24), (83))
((1, 28), (2, 26), (81))
((1, 28), (2, 28), (63))
((1, 28), (2, 30), (58))
((1, 28), (2, 31), (54))
((1, 28), (2, 32), (53))
((1, 28), (2, 33), (51))
((1, 28), (2, 39), (24))
((1, 28), (2, 44), (20))
((1, 28), (2, 45), (21))
