(14, 7), (17, 3)    (5, 4)                  (3, 1)
(14, 8), (17, 1)    (5, 4)                  (3, 1)
(14, 12), (17, 8)   (4, 5)                  (1, 3)
(14, 17), (17, 14)  (5, 4)                  (3, 1)
(14, 30), (17, 16)  (5, 4)                  (3, 1)
(14, 39), (17, 21)  (5, 4)                  (3, 1)
(14, 43), (17, 19)  (5, 6)                  (3, 1)
(14, 44), (17, 20)  (5, 6)                  (3, 1)
(14, 45), (17, 18)  (5, 6)                  (3, 1)

(14, 13), (18, 4)   (5, 4)                  (3, 1)
(14, 22), (18, 7)   (1, 5)                  (1, 3)
(14, 36), (18, 8)   (3, 5)                  (1, 3)

(17, 16), (18, 7)   (3, 1)                  (1, 3)

(17, 16), (19, 6)   (3, 1)                  (5, 1)

(18, 2), (19, 2)    (1, 3)                  (5, 4)
(18, 4), (19, 3)    (3, 1)                  (4, 5)
(18, 6), (19, 5)    (4, 3)                  (5, 1)
(18, 7), (19, 6)    (1, 3)                  (5, 1)
(18, 8), (19, 9)    (1, 3)                  (5, 5)
(18, 9), (19, 9)    (3, 1)                  (5, 5)

(19, 1), (21, 2)    (1, 4)                  (3, 1)
(19, 5), (21, 16)   (5, 1)                  (1, 5)
(19, 7), (21, 26)   (5, 1)                  (1, 4)
(19, 8), (21, 25)   (1, 1)                  (4, 1)

(20, 1), (21, 1)    (1, 2)                  (3, 1)
(20, 10), (21, 19)  (3, 1)                  (1, 4)
(20, 12), (21, 28)  (1, 3)                  (6, 1)
(20, 13), (21, 29)  (1, 3)                  (6, 1)
(20, 14), (21, 30)  (1, 3)                  (6, 1)
(20, 15), (21, 31)  (1, 3)                  (6, 1)
(20, 17), (21, 34)  (1, 1)                  (1, 5)
(20, 18), (21, 37)  (1, 1)                  (5, 1)
(20, 19), (21, 36)  (3, 1)                  (1, 6)
(20, 20), (21, 35)  (1, 3)                  (5, 1)
(20, 3), (21, 7)    (2, 1)                  (1, 3)
(20, 4), (21, 11)   (3, 1)                  (1, 4)
(20, 5), (21, 14)   (1, 3)                  (3, 1)
(20, 8), (21, 18)   (3, 1)                  (1, 4)
(20, 9), (21, 20)   (3, 1)                  (1, 4)

(20, 6), (19, 4)    (1, 3)                  (4, 1)
(20, 11), (19, 6)   (1, 3)                  (5, 1)

(20, 2), (17, 6)    (3, 1)                  (3, 3)
(20, 11), (17, 16)  (1, 3)                  (3, 1)
(20, 13), (17, 18)  (1, 3)                  (3, 1)
(20, 14), (17, 19)  (1, 3)                  (3, 1)
(20, 12), (17, 20)  (1, 3)                  (3, 1)
(20, 17), (17, 21)  (1, 1)                  (3, 1)
(20, 15), (17, 22)  (1, 3)                  (3, 3)
(20, 19), (17, 22)  (3, 1)                  (3, 3)

(21, 25), (11, 6)   (4, 1)                  (1, 2)

(12, 7), (2, 36)    (1, 1)                  (1, 4)
(12, 8), (2, 37)    (1, 1)                  (1, 4)
(12, 18), (2, 18)   (1, 1)                  (1, 3)
(12, 19), (2, 19)   (1, 1)                  (1, 3)

(22, 1), (2, 52)    (1, 2)                  (2, 3)
(22, 2), (2, 49)    (2, 1)                  (3, 2)

(12, 1), (13, 1)    (1, 1)                  (1, 5)
(12, 2), (13, 2)    (1, 1)                  (1, 5)
(12, 3), (13, 3)    (3, 1)                  (1, 4)
(12, 4), (13, 4)    (3, 1)                  (1, 4)
(12, 5), (13, 8)    (1, 1)                  (1, 1)
(12, 6), (13, 6)    (1, 1)                  (4, 1)
(12, 7), (13, 9)    (1, 1)                  (1, 1)
(12, 8), (13, 10)   (1, 1)                  (1, 1)
(12, 9), (13, 14)   (1, 1)                  (1, 5)
(12, 10), (13, 13)  (1, 1)                  (1, 5)
(12, 14), (13, 18)  (4, 1)                  (1, 1)
(12, 15), (13, 18)  (1, 2)                  (1, 1)
(12, 17), (13, 19)  (2, 1)                  (1, 2)
(12, 18), (13, 21)  (1, 1)                  (1, 1)
(12, 19), (13, 22)  (1, 1)                  (1, 1)
(12, 21), (13, 22)  (1, 1)                  (1, 1)
(12, 24), (13, 28)  (1, 1)                  (3, 1)
(12, 25), (13, 34)  (1, 1)                  (1, 4)

(12, 9), (14, 6)    (1, 1)                  (5, 4)
(12, 10), (14, 7)   (1, 1)                  (5, 4)
(12, 20), (14, 32)  (2, 1)                  (4, 1)
(12, 26), (14, 46)  (1, 2)                  (6, 4)

(13, 14), (14, 6)   (1, 5)                  (5, 4)
(13, 13), (14, 7)   (1, 5)                  (5, 4)

(13, 1), (2, 1)     (1, 5)                  (3, 4)
(13, 2), (2, 2)     (1, 5)                  (3, 4)
(13, 8), (2, 28)    (1, 1)                  (1, 4)
(13, 9), (2, 36)    (1, 1)                  (1, 4)
(13, 10), (2, 37)   (1, 1)                  (1, 4)
(13, 6), (2, 46)    (4, 1)                  (4, 3)
